Interaction_ID,Customer_ID,Date_Time,Query_Type,Response_Type,Outcome
INT010172,CUST000073,2025-12-18 02:27:57,billing_explanation,automated,escalated
INT010173,CUST000073,2025-11-20 06:56:48,account_balance,human,resolved
INT010174,CUST000073,2025-07-17 15:55:57,usage_question,automated,resolved
INT010175,CUST000074,2025-07-15 15:18:59,energy_saving_tips,automated,escalated
INT010176,CUST000074,2025-12-23 21:13:42,energy_saving_tips,automated,resolved
INT010177,CUST000075,2025-10-18 11:22:17,billing_explanation,human,resolved
INT010178,CUST000075,2025-09-18 00:10:03,account_balance,automated,resolved
INT010179,CUST000075,2025-08-14 23:33:50,energy_saving_tips,automated,resolved
INT010180,CUST000076,2025-09-26 12:24:21,energy_saving_tips,automated,resolved
INT010181,CUST000076,2025-07-27 10:07:23,usage_question,automated,resolved
INT010182,CUST000077,2025-12-08 20:02:45,usage_question,human,resolved
INT010183,CUST000077,2025-10-21 17:38:03,account_balance,human,resolved
INT010184,CUST000078,2025-09-22 06:33:50,account_balance,automated,resolved
INT010185,CUST000078,2025-11-19 09:50:57,energy_saving_tips,automated,resolved
INT010186,CUST000078,2025-08-29 03:03:51,usage_question,automated,resolved
INT010187,CUST000078,2025-09-19 20:11:50,billing_explanation,automated,resolved
INT010188,CUST000078,2025-08-07 11:05:30,usage_question,automated,resolved
INT010189,CUST000078,2025-11-04 17:22:43,energy_saving_tips,human,resolved
INT010190,CUST000079,2025-12-23 22:54:48,energy_saving_tips,automated,resolved
INT010191,CUST000079,2025-07-10 07:58:46,energy_saving_tips,automated,resolved
INT010192,CUST000079,2025-10-29 11:04:13,energy_saving_tips,automated,resolved
INT010193,CUST000079,2025-09-18 12:26:05,energy_saving_tips,automated,resolved
INT010194,CUST000080,2025-10-23 11:12:34,energy_saving_tips,automated,resolved
INT010195,CUST000081,2025-09-20 00:53:44,energy_saving_tips,automated,resolved
INT010196,CUST000081,2025-08-15 02:36:25,usage_question,automated,resolved
INT010197,CUST000081,2025-11-10 04:51:51,billing_explanation,automated,resolved
INT010198,CUST000082,2025-07-21 15:40:17,billing_explanation,automated,resolved
INT010199,CUST000082,2025-08-22 05:58:47,billing_explanation,automated,resolved
INT010200,CUST000082,2025-09-28 02:15:46,usage_question,automated,resolved
INT010201,CUST000082,2025-07-19 17:33:53,account_balance,automated,resolved
INT010202,CUST000083,2025-11-19 12:54:28,account_balance,automated,resolved
INT010203,CUST000083,2025-12-09 03:01:59,billing_explanation,automated,escalated
INT010204,CUST000083,2025-09-13 09:45:26,energy_saving_tips,automated,resolved
INT010205,CUST000084,2025-08-12 09:57:24,usage_question,automated,resolved
INT010206,CUST000084,2025-09-17 19:32:38,technical_support,automated,resolved
INT010207,CUST000084,2025-08-29 11:44:58,payment_issue,automated,resolved
INT010208,CUST000084,2025-07-29 21:21:15,energy_saving_tips,automated,resolved
INT010209,CUST000084,2025-07-11 23:38:47,energy_saving_tips,automated,resolved
INT010210,CUST000084,2025-11-29 07:32:17,billing_explanation,automated,escalated
INT010211,CUST000084,2025-12-19 03:12:24,billing_explanation,human,resolved
INT010212,CUST000085,2025-07-12 13:43:26,energy_saving_tips,automated,resolved
INT010213,CUST000086,2025-09-25 10:47:11,payment_issue,automated,resolved
INT010214,CUST000086,2025-08-02 21:52:52,energy_saving_tips,automated,escalated
INT010215,CUST000086,2025-10-06 09:41:05,billing_explanation,automated,resolved
INT010216,CUST000086,2025-07-30 20:15:22,energy_saving_tips,human,resolved
INT010217,CUST000087,2025-08-20 08:15:30,energy_saving_tips,automated,resolved
INT010218,CUST000087,2025-07-15 07:10:04,billing_explanation,automated,resolved
INT010219,CUST000087,2025-08-14 05:21:29,billing_explanation,automated,resolved
INT010220,CUST000088,2025-11-24 21:06:36,energy_saving_tips,automated,resolved
INT010221,CUST000088,2025-12-28 12:07:14,energy_saving_tips,automated,escalated
INT010222,CUST000089,2025-08-20 11:34:06,account_balance,automated,resolved
INT010223,CUST000090,2025-10-11 15:57:33,energy_saving_tips,human,resolved
INT010224,CUST000090,2025-11-07 13:45:34,energy_saving_tips,human,resolved
INT010225,CUST000090,2025-10-12 18:09:27,billing_explanation,automated,resolved
INT010226,CUST000091,2025-08-25 15:38:04,account_balance,automated,resolved
INT010227,CUST000091,2025-07-31 23:22:36,billing_explanation,human,resolved
INT010228,CUST000091,2025-09-23 17:27:22,energy_saving_tips,automated,resolved
INT010229,CUST000091,2025-10-15 23:50:54,usage_question,automated,resolved
INT010230,CUST000096,2025-07-19 14:19:39,energy_saving_tips,human,escalated
INT010231,CUST000096,2025-10-23 13:32:39,account_balance,automated,resolved
INT010232,CUST000096,2025-10-14 11:33:18,billing_explanation,automated,resolved
INT010233,CUST000096,2025-09-08 09:50:02,usage_question,automated,resolved
INT010234,CUST000097,2025-07-23 20:48:41,billing_explanation,automated,escalated
INT010235,CUST000097,2025-11-29 16:33:23,payment_issue,automated,resolved
INT010236,CUST000098,2025-09-30 07:18:23,technical_support,human,resolved
INT010237,CUST000098,2025-08-03 18:15:06,usage_question,automated,resolved
INT010238,CUST000098,2025-08-10 04:27:17,energy_saving_tips,automated,resolved
INT010239,CUST000098,2025-12-16 22:17:48,billing_explanation,automated,resolved
INT010240,CUST000099,2025-12-04 20:56:11,billing_explanation,automated,resolved
INT010241,CUST000099,2025-07-23 16:47:46,billing_explanation,automated,resolved
INT010242,CUST000101,2025-09-18 10:26:29,account_balance,automated,unresolved
INT010243,CUST000101,2025-10-30 11:00:56,billing_explanation,automated,resolved
INT010244,CUST000101,2025-10-24 00:26:06,account_balance,automated,resolved
INT010245,CUST000101,2025-10-03 10:53:01,energy_saving_tips,automated,resolved
INT010246,CUST000102,2025-10-30 03:21:12,account_balance,automated,resolved
INT010247,CUST000102,2025-12-21 03:01:09,billing_explanation,automated,resolved
INT010248,CUST000102,2025-11-28 19:15:33,energy_saving_tips,human,resolved
INT010249,CUST000103,2025-10-13 19:10:27,billing_explanation,automated,resolved
INT010250,CUST000103,2025-08-06 01:24:42,billing_explanation,automated,resolved
INT010251,CUST000103,2025-07-26 07:02:15,billing_explanation,automated,resolved
INT010252,CUST000104,2025-10-20 00:05:41,energy_saving_tips,automated,resolved
INT010253,CUST000104,2025-08-20 21:59:08,energy_saving_tips,automated,resolved
INT010254,CUST000105,2025-12-01 18:19:37,billing_explanation,automated,resolved
INT010255,CUST000105,2025-11-20 06:47:05,payment_issue,automated,resolved
INT010256,CUST000105,2025-11-07 13:26:27,energy_saving_tips,human,resolved
INT010257,CUST000105,2025-07-10 07:14:34,account_balance,automated,resolved
INT010258,CUST000106,2025-07-31 06:33:29,billing_explanation,automated,resolved
INT010259,CUST000106,2025-11-12 18:54:22,technical_support,automated,resolved
INT010260,CUST000106,2025-08-22 17:23:32,energy_saving_tips,automated,resolved
INT010261,CUST000106,2025-08-13 02:22:47,usage_question,automated,resolved
INT010262,CUST000106,2025-10-17 08:23:37,energy_saving_tips,automated,resolved
INT010263,CUST000107,2025-08-04 02:24:52,billing_explanation,automated,resolved
INT010264,CUST000107,2025-09-26 15:16:02,energy_saving_tips,automated,resolved
INT010265,CUST000107,2025-12-19 16:43:45,billing_explanation,automated,resolved
INT010266,CUST000108,2025-07-10 02:40:05,energy_saving_tips,automated,resolved
INT010267,CUST000108,2025-07-31 14:38:24,energy_saving_tips,human,resolved
INT010268,CUST000108,2025-12-26 16:29:10,billing_explanation,automated,resolved
INT010269,CUST000109,2025-10-11 16:52:17,energy_saving_tips,automated,resolved
INT010270,CUST000109,2025-11-16 21:09:59,billing_explanation,automated,escalated
INT010271,CUST000110,2025-07-28 14:54:03,energy_saving_tips,automated,resolved
INT010272,CUST000110,2025-11-09 12:43:29,energy_saving_tips,automated,resolved
INT010273,CUST000111,2025-10-10 05:20:20,billing_explanation,automated,resolved
INT010274,CUST000112,2025-08-04 23:23:04,energy_saving_tips,automated,resolved
INT010275,CUST000112,2025-08-21 16:03:40,billing_explanation,automated,resolved
INT010276,CUST000113,2025-08-05 23:21:02,billing_explanation,human,resolved
INT010277,CUST000113,2025-12-09 14:07:59,billing_explanation,automated,resolved
INT010278,CUST000113,2025-08-16 12:00:57,technical_support,automated,resolved
INT010279,CUST000114,2025-10-12 21:00:15,energy_saving_tips,automated,resolved
INT010280,CUST000114,2025-11-22 01:30:19,energy_saving_tips,automated,resolved
INT010281,CUST000114,2025-10-08 12:06:28,usage_question,human,resolved
INT010282,CUST000115,2025-09-26 04:12:57,account_balance,automated,resolved
INT010283,CUST000115,2025-10-06 01:47:07,usage_question,human,resolved
INT010284,CUST000119,2025-08-29 15:14:25,account_balance,automated,resolved
INT010285,CUST000119,2025-10-15 20:54:04,energy_saving_tips,automated,resolved
INT010286,CUST000119,2025-10-27 17:31:10,billing_explanation,automated,escalated
INT010287,CUST000120,2025-12-11 00:38:38,technical_support,human,resolved
INT010288,CUST000120,2025-09-26 17:04:51,billing_explanation,automated,resolved
INT010289,CUST000121,2025-10-29 09:32:56,energy_saving_tips,automated,resolved
INT010290,CUST000121,2025-08-09 19:35:37,usage_question,automated,resolved
INT010291,CUST000121,2025-10-06 04:46:34,usage_question,automated,resolved
INT010292,CUST000121,2025-08-31 06:49:55,billing_explanation,automated,resolved
INT010293,CUST000121,2025-11-11 20:18:08,billing_explanation,automated,resolved
INT010294,CUST000123,2025-10-26 10:15:58,usage_question,automated,resolved
INT010295,CUST000123,2025-08-22 21:31:48,usage_question,automated,resolved
INT010296,CUST000123,2025-11-28 08:41:15,energy_saving_tips,automated,resolved
INT010297,CUST000123,2025-10-04 02:53:08,account_balance,human,resolved
INT010298,CUST000123,2025-07-13 14:03:36,usage_question,automated,resolved
INT010299,CUST000124,2025-10-24 13:56:48,billing_explanation,automated,resolved
INT010300,CUST000124,2025-09-02 05:40:57,energy_saving_tips,automated,escalated
INT010301,CUST000125,2025-12-28 08:34:46,energy_saving_tips,automated,unresolved
INT010302,CUST000125,2025-11-08 21:59:21,billing_explanation,automated,escalated
INT010303,CUST000125,2025-07-19 13:00:16,account_balance,automated,resolved
INT010304,CUST000125,2025-12-30 13:32:53,account_balance,automated,resolved
INT010305,CUST000125,2025-09-02 22:43:27,billing_explanation,human,resolved
INT010306,CUST000125,2025-11-19 17:48:02,billing_explanation,human,resolved
INT010307,CUST000125,2025-07-12 10:39:55,energy_saving_tips,human,resolved
INT010308,CUST000127,2025-08-30 18:53:30,billing_explanation,automated,resolved
INT010309,CUST000128,2025-11-21 18:42:39,billing_explanation,human,resolved
INT010310,CUST000128,2025-08-15 21:08:26,energy_saving_tips,automated,resolved
INT010311,CUST000128,2025-08-04 19:42:44,energy_saving_tips,human,resolved
INT010312,CUST000128,2025-08-13 14:53:37,payment_issue,human,resolved
INT010313,CUST000129,2025-12-25 06:52:11,energy_saving_tips,automated,resolved
INT010314,CUST000129,2025-10-11 10:11:38,energy_saving_tips,automated,resolved
INT010315,CUST000130,2025-11-12 17:13:28,account_balance,human,resolved
INT010316,CUST000130,2025-12-28 09:24:50,usage_question,automated,resolved
INT010317,CUST000130,2025-10-02 13:35:24,energy_saving_tips,automated,unresolved
INT010318,CUST000130,2025-07-25 18:32:12,billing_explanation,automated,resolved
INT010319,CUST000131,2025-07-19 22:10:29,account_balance,automated,resolved
INT010320,CUST000131,2025-11-15 17:12:46,billing_explanation,human,resolved
INT010321,CUST000131,2025-12-14 21:36:24,energy_saving_tips,automated,resolved
INT010322,CUST000132,2025-08-12 04:53:16,usage_question,automated,resolved
INT010323,CUST000132,2025-10-01 15:24:35,usage_question,human,resolved
INT010324,CUST000132,2025-10-23 09:51:54,energy_saving_tips,automated,escalated
INT010325,CUST000132,2025-09-17 17:34:01,usage_question,automated,resolved
INT010326,CUST000132,2025-12-10 20:26:59,usage_question,automated,resolved
INT010327,CUST000134,2025-10-20 16:14:34,usage_question,human,resolved
INT010328,CUST000134,2025-11-19 08:52:04,billing_explanation,automated,resolved
INT010329,CUST000134,2025-09-18 07:36:13,energy_saving_tips,automated,resolved
INT010330,CUST000134,2025-07-26 16:17:52,energy_saving_tips,automated,resolved
INT010331,CUST000135,2025-12-02 23:14:36,energy_saving_tips,automated,resolved
INT010332,CUST000135,2025-08-15 21:04:10,technical_support,human,resolved
INT010333,CUST000135,2025-10-06 10:26:06,energy_saving_tips,automated,resolved
INT010334,CUST000135,2025-08-24 00:09:22,technical_support,automated,resolved
INT010335,CUST000135,2025-09-26 13:30:34,account_balance,automated,resolved
INT010336,CUST000136,2025-07-15 06:31:34,usage_question,human,resolved
INT010337,CUST000137,2025-09-22 22:57:33,energy_saving_tips,human,resolved
INT010338,CUST000137,2025-10-04 04:09:30,energy_saving_tips,automated,resolved
INT010339,CUST000137,2025-11-21 16:51:23,energy_saving_tips,automated,escalated
INT010340,CUST000138,2025-08-31 21:25:54,technical_support,automated,resolved
INT010341,CUST000138,2025-12-06 14:22:24,payment_issue,automated,resolved
INT010342,CUST000138,2025-08-15 05:49:56,energy_saving_tips,automated,escalated
INT010343,CUST000138,2025-12-30 09:49:37,account_balance,human,resolved
INT010344,CUST000139,2025-10-11 16:10:37,energy_saving_tips,automated,resolved
INT010345,CUST000139,2025-12-29 04:23:19,energy_saving_tips,automated,resolved
INT010346,CUST000139,2025-11-02 12:11:58,energy_saving_tips,automated,resolved
INT010347,CUST000140,2025-10-12 16:46:56,account_balance,automated,resolved
INT010348,CUST000140,2025-07-14 23:16:48,energy_saving_tips,human,resolved
INT010349,CUST000140,2025-08-16 01:52:28,usage_question,automated,escalated
INT010350,CUST000140,2025-07-21 04:20:39,billing_explanation,automated,resolved
INT010351,CUST000140,2025-11-13 05:24:26,payment_issue,automated,resolved
INT010352,CUST000140,2026-01-04 03:50:38,energy_saving_tips,automated,resolved
INT010353,CUST000140,2025-11-28 08:31:13,billing_explanation,automated,resolved
INT010354,CUST000141,2025-10-04 07:11:40,energy_saving_tips,automated,resolved
INT010355,CUST000143,2025-11-27 22:13:34,usage_question,automated,resolved
INT010356,CUST000143,2025-08-07 15:55:57,energy_saving_tips,automated,resolved
INT010357,CUST000145,2025-10-14 21:12:22,energy_saving_tips,automated,resolved
INT010358,CUST000145,2025-07-16 11:39:35,energy_saving_tips,human,resolved
INT010359,CUST000146,2025-11-29 01:18:32,payment_issue,automated,escalated
INT010360,CUST000147,2025-09-29 13:12:48,billing_explanation,automated,resolved
INT010361,CUST000147,2025-07-10 20:59:30,energy_saving_tips,automated,resolved
INT010362,CUST000147,2026-01-04 20:42:44,payment_issue,automated,resolved
INT010363,CUST000147,2025-11-02 08:37:32,usage_question,automated,resolved
INT010364,CUST000148,2025-10-30 10:14:09,energy_saving_tips,human,resolved
INT010365,CUST000149,2025-08-21 03:10:04,billing_explanation,human,resolved
