Ticket_ID,Customer_ID,Issue_Type,Ticket_Status,Date_Opened,Date_Closed,Resolution_Method
TKT001093,CUST000088,service_interruption,open,2025-05-07,,
TKT001094,CUST000088,billing_discrepancy,closed,2025-12-10,2025-12-14,chatbot_automated
TKT001095,CUST000089,billing_discrepancy,closed,2025-12-18,2025-12-21,chatbot_automated
TKT001096,CUST000089,usage_concern,closed,2025-09-10,2025-09-22,human_agent
TKT001097,CUST000089,usage_concern,closed,2025-03-03,2025-03-11,human_agent
TKT001098,CUST000089,billing_discrepancy,closed,2025-04-03,2025-04-14,chatbot_automated
TKT001099,CUST000090,energy_saving_advice,closed,2025-03-29,2025-04-04,human_agent
TKT001100,CUST000091,usage_concern,closed,2025-02-19,2025-02-28,human_agent
TKT001101,CUST000091,billing_discrepancy,closed,2025-01-09,2025-01-18,human_agent
TKT001102,CUST000092,service_interruption,closed,2025-08-19,2025-08-27,human_agent
TKT001103,CUST000092,billing_discrepancy,closed,2025-07-29,2025-07-31,chatbot_automated
TKT001104,CUST000096,energy_saving_advice,closed,2025-02-04,2025-02-07,chatbot_automated
TKT001105,CUST000097,technical_issue,closed,2025-06-18,2025-06-25,human_agent
TKT001106,CUST000098,account_management,closed,2025-04-06,2025-04-19,system_auto_resolved
TKT001107,CUST000098,billing_discrepancy,closed,2025-01-05,2025-01-14,human_agent
TKT001108,CUST000099,billing_discrepancy,closed,2025-04-17,2025-04-25,human_agent
TKT001109,CUST000099,account_management,closed,2025-06-13,2025-06-15,chatbot_automated
TKT001110,CUST000099,usage_concern,closed,2025-01-21,2025-01-22,chatbot_automated
TKT001111,CUST000101,service_interruption,closed,2025-10-18,2025-10-26,chatbot_automated
TKT001112,CUST000102,energy_saving_advice,closed,2025-02-18,2025-03-03,chatbot_automated
TKT001113,CUST000102,billing_discrepancy,closed,2025-04-20,2025-04-27,chatbot_automated
TKT001114,CUST000103,energy_saving_advice,closed,2025-09-14,2025-09-25,chatbot_automated
TKT001115,CUST000104,billing_discrepancy,closed,2025-05-22,2025-05-30,human_agent
TKT001116,CUST000105,energy_saving_advice,open,2025-07-25,,
TKT001117,CUST000105,billing_discrepancy,closed,2025-03-20,2025-03-24,system_auto_resolved
TKT001118,CUST000106,usage_concern,closed,2025-03-20,2025-03-23,chatbot_automated
TKT001119,CUST000106,service_interruption,closed,2025-05-09,2025-05-12,chatbot_automated
TKT001120,CUST000107,billing_discrepancy,closed,2025-12-02,2025-12-06,chatbot_automated
TKT001121,CUST000111,billing_discrepancy,closed,2025-12-13,2025-12-24,human_agent
TKT001122,CUST000111,billing_discrepancy,closed,2025-11-11,2025-11-22,system_auto_resolved
TKT001123,CUST000111,usage_concern,closed,2025-07-23,2025-07-27,human_agent
TKT001124,CUST000112,billing_discrepancy,closed,2025-06-13,2025-06-22,human_agent
TKT001125,CUST000112,energy_saving_advice,closed,2025-05-04,2025-05-10,human_agent
TKT001126,CUST000113,service_interruption,closed,2025-12-16,2025-12-24,chatbot_automated
TKT001127,CUST000114,usage_concern,closed,2025-10-14,2025-10-16,human_agent
TKT001128,CUST000119,billing_discrepancy,closed,2025-06-12,2025-06-19,chatbot_automated
TKT001129,CUST000120,billing_discrepancy,closed,2025-09-21,2025-09-26,human_agent
TKT001130,CUST000120,billing_discrepancy,closed,2025-10-06,2025-10-18,human_agent
TKT001131,CUST000121,account_management,closed,2025-09-01,2025-09-05,human_agent
TKT001132,CUST000121,billing_discrepancy,closed,2025-01-13,2025-01-20,human_agent
TKT001133,CUST000122,energy_saving_advice,closed,2025-08-25,2025-08-30,human_agent
TKT001134,CUST000124,service_interruption,closed,2025-04-28,2025-05-09,human_agent
TKT001135,CUST000124,service_interruption,closed,2025-08-07,2025-08-16,human_agent
TKT001136,CUST000124,energy_saving_advice,closed,2025-06-05,2025-06-11,system_auto_resolved
TKT001137,CUST000124,billing_discrepancy,in_progress,2025-07-27,,
TKT001138,CUST000125,billing_discrepancy,closed,2025-01-10,2025-01-18,human_agent
TKT001139,CUST000125,energy_saving_advice,closed,2025-03-27,2025-03-29,human_agent
TKT001140,CUST000127,billing_discrepancy,closed,2025-06-25,2025-06-30,chatbot_automated
TKT001141,CUST000127,usage_concern,closed,2025-03-13,2025-03-17,chatbot_automated
TKT001142,CUST000127,billing_discrepancy,closed,2025-07-08,2025-07-20,human_agent
TKT001143,CUST000127,usage_concern,open,2025-09-11,,
TKT001144,CUST000127,usage_concern,in_progress,2025-02-25,,
TKT001145,CUST000128,technical_issue,closed,2025-02-27,2025-03-07,system_auto_resolved
TKT001146,CUST000128,energy_saving_advice,closed,2025-03-17,2025-03-18,system_auto_resolved
TKT001147,CUST000129,service_interruption,open,2025-03-19,,
TKT001148,CUST000129,usage_concern,closed,2025-07-07,2025-07-19,human_agent
TKT001149,CUST000131,energy_saving_advice,closed,2025-08-24,2025-09-04,chatbot_automated
TKT001150,CUST000131,service_interruption,closed,2025-11-05,2025-11-09,system_auto_resolved
TKT001151,CUST000134,billing_discrepancy,closed,2025-09-17,2025-09-28,chatbot_automated
TKT001152,CUST000136,technical_issue,closed,2025-07-07,2025-07-16,chatbot_automated
TKT001153,CUST000137,usage_concern,closed,2025-08-20,2025-08-31,system_auto_resolved
TKT001154,CUST000138,billing_discrepancy,open,2025-09-24,,
TKT001155,CUST000139,usage_concern,closed,2025-04-24,2025-05-02,chatbot_automated
TKT001156,CUST000139,usage_concern,open,2025-02-03,,
TKT001157,CUST000140,usage_concern,closed,2025-06-06,2025-06-19,human_agent
TKT001158,CUST000140,usage_concern,closed,2025-09-06,2025-09-15,human_agent
TKT001159,CUST000141,energy_saving_advice,closed,2025-01-20,2025-01-27,chatbot_automated
TKT001160,CUST000143,energy_saving_advice,closed,2025-07-12,2025-07-21,human_agent
TKT001161,CUST000143,technical_issue,closed,2025-07-12,2025-07-13,system_auto_resolved
TKT001162,CUST000148,billing_discrepancy,closed,2025-03-17,2025-03-25,chatbot_automated
TKT001163,CUST000149,billing_discrepancy,closed,2025-09-26,2025-09-28,human_agent
TKT001164,CUST000151,energy_saving_advice,closed,2025-07-12,2025-07-19,chatbot_automated
TKT001165,CUST000151,billing_discrepancy,in_progress,2025-01-10,,
TKT001166,CUST000152,billing_discrepancy,in_progress,2025-10-12,,
TKT001167,CUST000152,usage_concern,closed,2025-09-22,2025-09-28,human_agent
TKT001168,CUST000153,usage_concern,closed,2025-06-22,2025-06-28,human_agent
TKT001169,CUST000153,energy_saving_advice,open,2025-05-16,,
TKT001170,CUST000154,billing_discrepancy,closed,2025-10-05,2025-10-10,human_agent
TKT001171,CUST000154,usage_concern,closed,2025-09-19,2025-09-25,human_agent
TKT001172,CUST000154,billing_discrepancy,in_progress,2025-10-03,,
TKT001173,CUST000154,usage_concern,closed,2025-08-02,2025-08-12,human_agent
TKT001174,CUST000154,account_management,in_progress,2025-06-13,,
TKT001175,CUST000157,energy_saving_advice,closed,2025-10-12,2025-10-18,human_agent
TKT001176,CUST000157,service_interruption,closed,2025-05-09,2025-05-10,chatbot_automated
TKT001177,CUST000157,usage_concern,open,2025-03-10,,
TKT001178,CUST000158,billing_discrepancy,open,2025-12-23,,
TKT001179,CUST000160,energy_saving_advice,closed,2025-07-03,2025-07-07,human_agent
TKT001180,CUST000161,energy_saving_advice,closed,2025-05-02,2025-05-10,chatbot_automated
TKT001181,CUST000161,usage_concern,closed,2025-09-12,2025-09-13,system_auto_resolved
TKT001182,CUST000165,billing_discrepancy,closed,2025-12-17,2025-12-29,human_agent
TKT001183,CUST000167,billing_discrepancy,open,2025-07-16,,
TKT001184,CUST000167,energy_saving_advice,in_progress,2025-12-13,,
TKT001185,CUST000168,billing_discrepancy,closed,2025-04-16,2025-04-28,human_agent
TKT001186,CUST000168,energy_saving_advice,in_progress,2025-11-08,,
TKT001187,CUST000169,billing_discrepancy,closed,2025-02-05,2025-02-15,human_agent
TKT001188,CUST000171,billing_discrepancy,in_progress,2025-01-16,,
TKT001189,CUST000172,energy_saving_advice,open,2025-11-02,,
TKT001190,CUST000174,energy_saving_advice,in_progress,2025-01-15,,
TKT001191,CUST000175,service_interruption,closed,2025-10-31,2025-11-10,human_agent
TKT001192,CUST000178,billing_discrepancy,closed,2025-12-28,2026-01-02,chatbot_automated
TKT001193,CUST000178,usage_concern,closed,2025-06-16,2025-06-22,human_agent
TKT001194,CUST000179,service_interruption,closed,2025-01-05,2025-01-14,human_agent
TKT001195,CUST000181,billing_discrepancy,closed,2025-12-13,2025-12-26,human_agent
TKT001196,CUST000181,usage_concern,closed,2025-06-27,2025-06-29,chatbot_automated
TKT001197,CUST000183,energy_saving_advice,closed,2025-01-22,2025-01-26,system_auto_resolved
TKT001198,CUST000185,energy_saving_advice,closed,2025-02-24,2025-03-08,human_agent
TKT001199,CUST000187,usage_concern,closed,2025-03-07,2025-03-20,human_agent
TKT001200,CUST000187,account_management,open,2025-04-05,,
TKT001201,CUST000187,billing_discrepancy,closed,2025-06-26,2025-07-05,chatbot_automated
TKT001202,CUST000187,billing_discrepancy,closed,2025-08-28,2025-08-30,chatbot_automated
TKT001203,CUST000187,usage_concern,closed,2025-06-12,2025-06-21,human_agent
TKT001204,CUST000189,account_management,closed,2025-05-06,2025-05-19,chatbot_automated
TKT001205,CUST000189,billing_discrepancy,closed,2025-01-08,2025-01-13,system_auto_resolved
TKT001206,CUST000190,energy_saving_advice,closed,2025-07-04,2025-07-07,chatbot_automated
TKT001207,CUST000190,billing_discrepancy,closed,2025-10-15,2025-10-21,human_agent
TKT001208,CUST000191,account_management,closed,2025-03-21,2025-03-27,human_agent
TKT001209,CUST000192,usage_concern,closed,2025-05-18,2025-05-26,human_agent
TKT001210,CUST000193,usage_concern,closed,2025-04-16,2025-04-19,human_agent
TKT001211,CUST000195,energy_saving_advice,closed,2025-02-23,2025-03-02,system_auto_resolved
TKT001212,CUST000196,energy_saving_advice,closed,2025-07-18,2025-07-24,human_agent
TKT001213,CUST000196,service_interruption,closed,2025-08-30,2025-09-08,human_agent
TKT001214,CUST000199,usage_concern,closed,2025-12-21,2025-12-30,human_agent
TKT001215,CUST000201,usage_concern,closed,2025-01-10,2025-01-19,chatbot_automated
TKT001216,CUST000202,usage_concern,closed,2025-09-21,2025-09-23,human_agent
TKT001217,CUST000202,usage_concern,closed,2025-12-01,2025-12-09,human_agent
TKT001218,CUST000203,energy_saving_advice,open,2025-06-16,,
TKT001219,CUST000203,energy_saving_advice,closed,2025-12-15,2025-12-19,human_agent
TKT001220,CUST000206,usage_concern,closed,2025-09-26,2025-09-27,chatbot_automated
TKT001221,CUST000206,service_interruption,closed,2025-01-13,2025-01-25,system_auto_resolved
TKT001222,CUST000206,technical_issue,closed,2025-01-19,2025-01-25,human_agent
TKT001223,CUST000207,service_interruption,closed,2025-10-05,2025-10-14,chatbot_automated
TKT001224,CUST000207,usage_concern,open,2025-08-09,,
TKT001225,CUST000207,billing_discrepancy,closed,2025-10-25,2025-11-04,human_agent
TKT001226,CUST000208,energy_saving_advice,closed,2025-11-20,2025-11-26,human_agent
TKT001227,CUST000213,service_interruption,in_progress,2025-07-31,,
TKT001228,CUST000214,service_interruption,closed,2025-03-28,2025-04-01,system_auto_resolved
TKT001229,CUST000215,energy_saving_advice,open,2025-02-03,,
TKT001230,CUST000217,account_management,in_progress,2025-03-09,,
TKT001231,CUST000217,energy_saving_advice,in_progress,2025-07-21,,
TKT001232,CUST000219,billing_discrepancy,closed,2025-02-28,2025-03-09,human_agent
TKT001233,CUST000220,billing_discrepancy,in_progress,2025-09-14,,
TKT001234,CUST000222,usage_concern,closed,2025-11-18,2025-12-01,system_auto_resolved
TKT001235,CUST000224,technical_issue,closed,2025-03-25,2025-04-06,human_agent
TKT001236,CUST000224,usage_concern,open,2025-09-22,,
TKT001237,CUST000227,billing_discrepancy,closed,2025-10-04,2025-10-09,human_agent
TKT001238,CUST000227,billing_discrepancy,closed,2025-06-01,2025-06-12,human_agent
TKT001239,CUST000227,energy_saving_advice,in_progress,2025-12-29,,
TKT001240,CUST000229,account_management,closed,2025-02-04,2025-02-17,human_agent
TKT001241,CUST000230,usage_concern,closed,2025-03-24,2025-04-03,human_agent
TKT001242,CUST000231,usage_concern,closed,2025-10-17,2025-10-19,human_agent
TKT001243,CUST000231,usage_concern,closed,2025-05-03,2025-05-12,human_agent
TKT001244,CUST000232,account_management,closed,2025-06-16,2025-06-20,human_agent
TKT001245,CUST000234,usage_concern,open,2025-03-22,,
TKT001246,CUST000235,billing_discrepancy,closed,2025-09-09,2025-09-22,chatbot_automated
TKT001247,CUST000238,billing_discrepancy,closed,2025-03-09,2025-03-18,system_auto_resolved
TKT001248,CUST000238,billing_discrepancy,closed,2025-10-22,2025-10-26,human_agent
TKT001249,CUST000241,account_management,in_progress,2025-11-20,,
TKT001250,CUST000241,usage_concern,closed,2025-04-27,2025-05-09,human_agent
TKT001251,CUST000244,energy_saving_advice,closed,2025-01-23,2025-02-03,chatbot_automated
TKT001252,CUST000244,account_management,closed,2025-05-20,2025-05-26,chatbot_automated
TKT001253,CUST000245,energy_saving_advice,closed,2025-06-15,2025-06-26,chatbot_automated
TKT001254,CUST000246,usage_concern,closed,2025-10-05,2025-10-13,chatbot_automated
TKT001255,CUST000247,energy_saving_advice,in_progress,2025-02-22,,
TKT001256,CUST000251,billing_discrepancy,closed,2025-04-06,2025-04-13,human_agent
TKT001257,CUST000252,usage_concern,closed,2025-05-05,2025-05-09,human_agent
TKT001258,CUST000253,usage_concern,closed,2025-01-27,2025-02-03,human_agent
TKT001259,CUST000255,billing_discrepancy,closed,2025-07-11,2025-07-13,human_agent
TKT001260,CUST000256,usage_concern,closed,2025-06-04,2025-06-06,human_agent
TKT001261,CUST000257,account_management,in_progress,2025-09-19,,
TKT001262,CUST000258,energy_saving_advice,closed,2025-10-07,2025-10-12,chatbot_automated
TKT001263,CUST000260,billing_discrepancy,closed,2025-09-14,2025-09-19,human_agent
TKT001264,CUST000265,energy_saving_advice,closed,2025-10-26,2025-11-05,human_agent
TKT001265,CUST000269,energy_saving_advice,closed,2025-03-30,2025-04-09,chatbot_automated
TKT001266,CUST000269,service_interruption,closed,2025-08-27,2025-09-08,human_agent
TKT001267,CUST000270,technical_issue,closed,2025-05-29,2025-05-30,human_agent
TKT001268,CUST000270,usage_concern,closed,2025-09-30,2025-10-07,human_agent
TKT001269,CUST000272,account_management,closed,2025-11-13,2025-11-15,human_agent
TKT001270,CUST000272,billing_discrepancy,closed,2025-02-21,2025-02-27,system_auto_resolved
TKT001271,CUST000272,usage_concern,closed,2025-11-23,2025-12-03,human_agent
TKT001272,CUST000272,usage_concern,closed,2025-12-28,2025-12-31,chatbot_automated
TKT001273,CUST000272,technical_issue,closed,2025-12-30,2026-01-08,human_agent
TKT001274,CUST000273,technical_issue,in_progress,2025-09-11,,
TKT001275,CUST000274,account_management,closed,2025-03-22,2025-03-26,human_agent
TKT001276,CUST000274,energy_saving_advice,closed,2025-03-29,2025-04-01,human_agent
TKT001277,CUST000275,energy_saving_advice,closed,2025-06-23,2025-07-03,human_agent
TKT001278,CUST000276,billing_discrepancy,closed,2025-01-31,2025-02-01,chatbot_automated
TKT001279,CUST000277,energy_saving_advice,closed,2025-07-24,2025-07-28,human_agent
TKT001280,CUST000278,billing_discrepancy,closed,2025-11-15,2025-11-24,human_agent
TKT001281,CUST000279,billing_discrepancy,closed,2025-12-04,2025-12-12,chatbot_automated
TKT001282,CUST000280,usage_concern,closed,2025-04-05,2025-04-11,system_auto_resolved
TKT001283,CUST000281,account_management,closed,2025-09-26,2025-10-04,human_agent
TKT001284,CUST000282,energy_saving_advice,closed,2025-06-12,2025-06-16,human_agent
TKT001285,CUST000282,usage_concern,closed,2025-04-16,2025-04-21,human_agent
TKT001286,CUST000284,energy_saving_advice,closed,2025-06-08,2025-06-21,chatbot_automated
TKT001287,CUST000286,usage_concern,closed,2025-06-02,2025-06-11,human_agent
TKT001288,CUST000287,service_interruption,in_progress,2025-04-18,,
TKT001289,CUST000287,energy_saving_advice,closed,2025-05-04,2025-05-16,chatbot_automated
TKT001290,CUST000287,usage_concern,in_progress,2025-11-20,,
TKT001291,CUST000289,usage_concern,in_progress,2025-11-10,,
TKT001292,CUST000290,billing_discrepancy,closed,2025-12-21,2026-01-03,human_agent
TKT001293,CUST000291,usage_concern,closed,2025-05-30,2025-06-02,human_agent
TKT001294,CUST000291,energy_saving_advice,closed,2025-10-22,2025-10-28,human_agent
TKT001295,CUST000292,energy_saving_advice,in_progress,2025-10-18,,
TKT001296,CUST000293,energy_saving_advice,closed,2025-08-12,2025-08-24,chatbot_automated
TKT001297,CUST000294,billing_discrepancy,closed,2025-04-19,2025-04-21,human_agent
TKT001298,CUST000295,usage_concern,in_progress,2025-07-07,,
TKT001299,CUST000295,service_interruption,open,2025-09-22,,
TKT001300,CUST000295,billing_discrepancy,in_progress,2025-06-29,,
TKT001301,CUST000296,energy_saving_advice,closed,2025-08-19,2025-08-26,system_auto_resolved
TKT001302,CUST000297,usage_concern,closed,2025-07-20,2025-07-26,human_agent
TKT001303,CUST000298,billing_discrepancy,closed,2026-01-02,2026-01-06,human_agent
TKT001304,CUST000298,usage_concern,closed,2025-02-24,2025-03-08,human_agent
TKT001305,CUST000298,billing_discrepancy,in_progress,2025-11-28,,
TKT001306,CUST000301,usage_concern,open,2025-09-21,,
TKT001307,CUST000302,usage_concern,closed,2025-07-16,2025-07-21,chatbot_automated
TKT001308,CUST000303,technical_issue,closed,2025-12-03,2025-12-11,human_agent
TKT001309,CUST000303,usage_concern,in_progress,2025-10-26,,
TKT001310,CUST000304,energy_saving_advice,closed,2025-09-01,2025-09-07,human_agent
TKT001311,CUST000304,billing_discrepancy,open,2025-03-15,,
TKT001312,CUST000305,energy_saving_advice,open,2025-10-16,,
TKT001313,CUST000306,energy_saving_advice,closed,2025-02-27,2025-03-04,human_agent
TKT001314,CUST000306,billing_discrepancy,closed,2025-02-12,2025-02-14,human_agent
TKT001315,CUST000306,energy_saving_advice,closed,2025-10-13,2025-10-21,human_agent
TKT001316,CUST000307,service_interruption,closed,2025-05-09,2025-05-10,human_agent
TKT001317,CUST000308,billing_discrepancy,closed,2025-01-08,2025-01-13,chatbot_automated
TKT001318,CUST000309,billing_discrepancy,closed,2025-09-19,2025-09-24,human_agent
TKT001319,CUST000311,billing_discrepancy,closed,2025-05-24,2025-06-05,human_agent
TKT001320,CUST000311,account_management,closed,2025-04-12,2025-04-24,human_agent
TKT001321,CUST000313,account_management,closed,2025-05-20,2025-05-30,human_agent
TKT001322,CUST000314,usage_concern,closed,2025-04-06,2025-04-09,human_agent
TKT001323,CUST000317,billing_discrepancy,closed,2025-12-14,2025-12-20,human_agent
TKT001324,CUST000320,billing_discrepancy,in_progress,2025-05-16,,
TKT001325,CUST000321,billing_discrepancy,closed,2025-04-15,2025-04-16,human_agent
TKT001326,CUST000322,service_interruption,closed,2025-05-03,2025-05-12,chatbot_automated
TKT001327,CUST000322,billing_discrepancy,in_progress,2025-02-13,,
TKT001328,CUST000322,billing_discrepancy,closed,2025-11-18,2025-11-24,chatbot_automated
TKT001329,CUST000322,billing_discrepancy,closed,2025-11-12,2025-11-23,chatbot_automated
TKT001330,CUST000323,billing_discrepancy,closed,2025-12-14,2025-12-15,human_agent
TKT001331,CUST000324,energy_saving_advice,closed,2025-08-10,2025-08-13,human_agent
TKT001332,CUST000325,billing_discrepancy,closed,2025-04-08,2025-04-12,human_agent
TKT001333,CUST000327,billing_discrepancy,closed,2025-03-27,2025-03-29,chatbot_automated
TKT001334,CUST000328,service_interruption,closed,2026-01-01,2026-01-03,chatbot_automated
TKT001335,CUST000330,billing_discrepancy,closed,2025-03-02,2025-03-09,human_agent
TKT001336,CUST000331,service_interruption,closed,2025-12-16,2025-12-29,human_agent
TKT001337,CUST000332,usage_concern,closed,2025-01-16,2025-01-28,human_agent
TKT001338,CUST000333,usage_concern,open,2025-05-06,,
TKT001339,CUST000335,usage_concern,closed,2025-08-22,2025-08-24,chatbot_automated
TKT001340,CUST000336,usage_concern,closed,2025-11-03,2025-11-10,human_agent
TKT001341,CUST000337,energy_saving_advice,closed,2025-12-07,2025-12-10,human_agent
